airline.name,departure.airport,arrival.airport,day_of_week,month,departure_hour,scheduled_duration,is_delayed
128,19,134,3,4,8,130.0,0
116,79,61,3,4,15,110.0,0
227,328,370,3,4,9,65.0,0
113,82,307,3,4,7,95.0,0
211,89,355,3,4,12,65.0,0
201,401,179,3,4,14,65.0,1
183,401,179,3,4,14,65.0,1
168,401,179,3,4,14,65.0,1
146,401,179,3,4,14,65.0,1
128,401,179,3,4,14,65.0,1
99,401,179,3,4,14,65.0,1
86,401,179,3,4,14,65.0,1
65,401,179,3,4,14,65.0,1
78,401,179,3,4,14,65.0,1
52,307,185,3,4,13,180.0,1
116,174,125,3,4,14,165.0,0
208,75,57,3,4,9,30.0,0
139,114,340,3,4,6,51.0,1
182,155,317,3,4,15,145.0,0
208,6,57,3,4,8,53.0,0
188,221,355,3,4,14,70.0,0
168,221,355,3,4,14,70.0,0
92,221,355,3,4,14,70.0,0
155,221,328,3,4,14,75.0,0
183,221,328,3,4,14,75.0,0
168,221,328,3,4,14,75.0,0
166,221,328,3,4,14,75.0,0
92,221,328,3,4,14,75.0,0
89,221,328,3,4,14,75.0,0
